Frame,Time_s,Bleach_ROI_Mean,Reference_ROI_Mean,Background_Mean,Double_Normalized,Full_Scale_Normalized
0,0.0000,16.8048,18.8754,2.8659,0.419149,0.000000
1,0.7168,20.2805,18.8241,2.9797,0.525348,0.182833
2,1.4337,22.4063,18.7955,2.9537,0.590534,0.295059
3,2.1505,23.1018,18.3319,2.9723,0.629887,0.362809
4,2.8674,22.8281,17.2442,2.8583,0.668372,0.429065
5,3.5842,22.4782,16.6809,2.8200,0.683434,0.454996
6,4.3011,22.7827,16.4346,2.7888,0.706640,0.494948
7,5.0179,22.4007,16.2745,2.8167,0.701361,0.485859
8,5.7348,22.3720,15.8764,2.7895,0.721761,0.520980
9,6.4516,22.1423,15.4967,2.7921,0.734706,0.543266
